emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
-5,-4,-7,4,-2,-13,1,-2
14,10,19,-1,6,20,-2,11
1,11,5,8,3,10,13,-3
-8,-7,-21,-3,-7,-20,-5,-8
5,9,12,-3,-2,13,12,4
4,-1,5,2,2,-5,6,4
-9,-9,-20,-11,1,4,-9,-8
2,-4,6,1,-8,-1,-16,0
7,8,8,5,0,10,17,5
-8,-5,-11,-4,3,-1,-6,-5
-5,-8,2,-3,-8,-6,3,-3
5,4,10,6,-3,-13,-12,4
-3,8,0,2,7,20,0,-6
-8,-41,-22,-12,-4,5,21,-1
1,6,11,15,-4,-21,-15,0
2,5,0,-5,3,8,25,-2
-4,-3,-3,-4,-8,-29,-59,-6
3,10,9,9,3,2,22,1
5,1,-2,1,0,28,13,7
2,-4,0,-10,1,-15,5,2
1,5,12,17,2,14,0,2
2,7,-2,-1,1,-2,-5,0
-7,-10,-8,-8,4,6,4,-4
-4,1,0,0,-1,21,3,1
-4,-9,-14,-11,-4,-8,10,-4
-5,-2,0,-1,-4,-9,-16,-3
0,1,-3,1,-1,-16,-2,-2
3,3,3,-1,-1,2,-16,-3
1,0,8,4,5,5,1,1
-2,-1,-3,2,3,-15,7,1
0,-7,-5,-10,-6,-4,-19,-1
-2,-2,-9,2,-2,6,14,0
-7,-8,-2,-4,-6,-8,3,-5
3,8,2,2,1,-4,-16,-1
1,5,4,4,3,8,12,4
-5,-5,0,-1,-3,-1,-1,-2
3,-1,0,1,0,-3,-4,2
4,6,-1,-1,1,-4,-13,-1
-8,-10,-24,-16,-12,-34,-7,-6
3,6,6,9,1,53,50,9
4,-2,4,-2,4,-19,-40,-4
-1,3,-5,4,3,13,21,1
-4,-7,-14,-6,-8,-14,5,-2
5,9,10,-2,4,-13,-31,1
1,-2,-2,7,1,5,18,5
-6,5,2,-7,-7,-7,-12,-7
7,5,9,9,5,7,-3,4
-3,3,3,-2,-1,3,1,-1
-12,-12,-15,-7,-2,-8,15,-7
-3,-5,0,4,-4,-21,-51,-1
2,8,14,5,9,56,47,6
-6,-10,-9,-3,-4,-19,-9,-3
1,-3,-4,-4,-4,-11,1,-1
3,3,5,1,-4,-3,-4,-1
1,-1,3,4,7,-4,-5,-1
-3,-5,-2,2,4,3,-4,-6
-6,1,0,-4,-2,-13,-17,-2
1,4,3,6,0,19,10,1
-4,-2,4,-8,2,-11,16,5
-1,-6,-12,-5,-10,-3,-23,-5
3,2,7,2,2,-14,-10,3
2,3,5,6,-1,3,12,0
-3,1,4,6,1,-7,-25,-4
3,9,5,3,5,-4,18,5
1,-23,-6,-8,-5,8,4,3
-2,-1,-2,-4,2,1,-1,0
0,-6,-3,0,1,4,6,0
2,-10,16,9,2,-9,-19,-3
-1,10,-19,-1,2,25,41,1
-5,-9,-8,-9,-5,14,8,2
2,1,7,2,-4,-9,-22,-4
-4,0,-1,-8,-5,-15,1,-4
0,2,4,9,4,3,-13,-3
3,-2,1,3,6,0,10,4
-1,1,-7,-2,-5,5,-6,2
-1,-7,-3,1,5,-1,-6,-3
3,5,4,-1,-3,10,11,4
-1,3,0,-3,-9,-21,-9,-1
-3,0,3,5,6,-14,-13,-6
4,2,2,3,7,56,14,7
1,-1,-3,-2,8,31,64,7
-6,-4,-6,-9,-5,-2,-73,-7
-2,-5,-2,-2,-6,-9,-6,-5
2,2,-9,1,2,-38,-4,9
2,1,5,0,-6,7,-1,-1
2,19,-4,-18,2,-7,-4,-2
4,-5,-1,29,2,3,14,6
0,12,31,-2,5,26,22,-5
-7,9,-23,-13,-8,21,-15,1
3,-2,-3,-4,-1,-7,18,2
-1,7,-4,-13,-4,-3,-2,-2
-5,-7,-11,4,-3,-19,-5,-3
2,6,6,3,2,-16,-25,-5
2,-3,4,3,2,3,7,2
-1,1,-6,-13,-1,28,21,0
-3,2,-5,3,-6,-12,-13,0
5,6,15,5,5,-15,-14,-1
-2,-10,-6,1,0,15,58,4
-5,-11,-3,-8,-7,-3,-54,-6
2,4,-2,-2,0,-8,40,1
-1,-8,-4,1,-2,-14,-32,-2
3,5,3,3,4,-43,-24,-2
-5,15,-16,-24,-6,26,46,-3
-2,-23,8,24,-4,39,34,7
-1,0,9,-2,-3,-33,-50,-15
-8,-24,-2,0,-3,-5,3,-1
2,23,6,-5,-6,-43,-45,1
-8,-26,-13,-18,-1,12,3,-6
-5,-14,-11,-2,-8,-36,10,-3
-4,-2,-8,5,1,47,31,0
4,-2,20,8,9,-5,-10,2
1,4,-7,-5,-5,-17,-8,-1
-2,1,-1,4,-2,7,20,3
2,-2,2,-2,0,-5,-18,1
0,-2,2,10,2,5,16,-5
6,8,-3,-3,2,2,-1,0
5,0,-4,-1,-1,14,4,8
3,11,5,-13,5,-10,-7,1
-9,-21,-8,16,-8,6,28,-4
0,11,5,-1,-3,-14,-35,-4
0,1,-2,-2,1,4,1,0
2,-1,2,4,-3,22,54,2
1,5,-15,-8,1,17,-17,2
-9,-9,-4,-11,-7,-33,-47,-9
5,14,11,12,3,17,30,7
-2,2,19,-1,2,-15,-15,-3
6,3,1,2,8,53,34,6
1,4,-2,-3,-10,-66,-2,-1
-3,-13,-18,-3,0,10,2,-5
-2,-4,6,4,-6,-14,-10,-1
-1,-7,0,-4,3,11,-11,-6
0,3,-1,2,2,27,12,4
-7,-7,0,-10,-6,4,24,-4
0,8,-15,0,-2,-8,-19,-5
-2,-27,6,-3,-2,-6,20,6
-2,10,9,-2,1,-18,22,-1
4,17,2,7,2,6,-33,-1
4,2,6,8,7,21,52,10
3,9,4,-9,-1,-10,-54,2
11,-5,-8,10,6,13,17,3
4,5,3,2,4,-17,-28,3
-1,7,6,0,0,-1,-25,-8
-3,-3,-6,-10,-5,-7,34,3
-3,-7,7,3,4,21,8,1
-6,-6,-16,-11,-6,-7,-25,-8
-1,-12,-10,7,-1,-24,-10,1
-6,5,11,0,4,18,9,-6
5,12,-5,2,1,-25,-20,6
-6,-8,3,-2,0,10,37,2
-1,-7,-7,-9,-4,21,-35,-4
4,12,2,4,0,6,5,7
-3,-13,12,-2,3,0,-4,-5
-1,-6,-11,-4,-5,-23,-19,-7
-5,2,7,7,0,6,18,0
2,-3,0,8,4,-2,14,-2
-2,1,-7,-4,2,24,11,1
2,-1,5,-4,-2,-18,5,3
0,-2,-3,-2,0,-12,-19,-5
-3,-4,-3,5,-1,16,3,-3
-6,-3,0,-2,1,-14,-7,0
4,2,6,0,0,26,34,2
-5,-3,-8,0,1,22,-40,0
-5,-7,-7,-1,-7,3,12,-6
0,3,-3,-3,-6,-50,-63,-3
-5,-8,-4,-5,-3,-1,-21,-1
1,-4,-7,0,1,27,27,-4
4,5,10,9,-1,-45,-4,-2
3,4,0,-1,1,18,1,2
-2,-2,-5,1,2,37,28,0
-1,-1,3,-8,-5,-37,0,2
0,4,22,7,5,6,8,3
-4,-4,-26,-8,-1,-1,5,-6
1,-6,3,3,-4,-18,-38,-5
4,4,8,3,3,12,21,5
-2,-4,-10,0,2,-1,-11,1
-3,-5,-3,-6,2,5,29,2
8,4,3,7,-4,1,4,7
-3,-2,5,3,-2,5,-20,-6
2,1,-3,-3,-2,-35,-20,-4
1,7,5,3,3,13,6,2
2,0,4,4,5,40,30,4
-6,-7,-6,-3,-2,-22,-26,-1
1,1,-8,-8,5,45,31,5
1,0,5,11,-4,-42,-59,-6
-4,0,6,-4,0,-20,15,-3
0,-4,-15,-6,0,22,-8,4
-1,7,5,1,-5,16,17,3
-2,-23,2,3,-4,-2,-15,-3
-8,0,-10,0,3,-22,-8,-4
4,-3,-4,-7,-5,0,25,-3
-1,0,1,4,-2,-9,-30,1
-1,5,-2,-8,-2,20,31,0
-1,-1,8,2,-2,-13,-5,2
-1,-1,-4,-4,0,-9,-35,-1
-1,-5,-9,-3,-1,-17,9,0
0,2,6,2,-1,55,16,2
-6,-3,0,-6,-1,-59,-13,-2
3,0,-3,2,-5,34,13,-2
0,-1,0,-1,-1,-21,-37,-5
-1,4,7,2,5,8,20,2
2,8,0,-1,1,24,-1,2
-4,1,2,6,-5,-22,19,-2
-5,-10,-4,-5,-5,-13,-25,-3
6,2,-2,-3,5,19,3,-3
-6,-4,-3,0,-2,-1,-11,-6
-3,-3,-12,-2,-3,-20,-25,-1
6,3,3,-1,0,9,22,9
-2,0,-11,-15,-4,-29,2,-2
-4,-8,-1,14,-4,30,-7,-12
6,6,39,15,11,68,58,13
-3,-5,-15,-11,-5,-71,-28,-4
-6,-5,-6,-4,-10,-13,11,-1
5,-10,0,-9,0,-13,-26,4
-1,7,1,1,1,-8,-19,-9
-6,-10,-10,-3,2,27,40,3
1,1,9,0,-2,1,-19,1
6,9,1,3,4,36,16,0
-8,-6,-5,-4,-2,-70,-10,-4
2,1,6,2,2,14,-1,1
-4,4,-2,7,3,39,10,1
2,0,3,-2,-1,9,-4,-1
-3,-7,-11,-3,-1,-28,-15,-2
0,8,5,2,-2,-21,-27,-3
5,1,4,4,4,14,12,5
-6,-3,-4,-4,-1,6,27,-1
3,3,-3,-17,0,12,-11,3
-2,-5,-10,21,-2,0,-1,-9
1,9,12,8,3,-10,-26,-1
1,0,2,2,5,25,15,4
0,2,-2,-3,-1,-12,12,1
1,-2,-1,-4,-1,-1,19,1
-3,-8,-12,-2,0,-10,-22,-4
2,6,7,-2,-1,-18,-10,3
-2,-6,-9,-1,-7,9,-11,-1
-13,-15,-1,-3,0,11,-3,-9
0,1,2,0,6,-6,13,0
2,2,-1,0,-3,-18,-6,4
0,-2,0,4,3,20,1,-5
-1,1,-4,-2,-7,4,-22,-1
2,2,1,-4,-6,3,20,1
-4,0,-8,-3,3,7,12,-3
-2,3,9,5,-2,-18,30,0
4,0,-4,-13,3,-7,-33,2
2,7,0,17,1,22,28,1
-1,3,9,16,-1,-31,-16,-4
2,-4,5,1,1,16,-4,3
4,10,7,1,0,3,18,2
-2,-1,-7,-12,-1,-18,-19,-2
-1,-11,-6,-4,-2,25,14,4
1,3,-6,8,1,-33,2,1
2,2,8,-2,-1,10,-19,-3
0,-6,-5,-3,-7,-11,-2,-1
0,3,-9,-3,1,3,1,1
1,1,6,-2,4,2,-10,0
-2,-4,-16,-8,0,16,33,-2
-5,1,18,-3,-8,8,-15,-2
5,3,4,9,7,8,-8,4
-2,-3,-8,-6,-2,-8,13,0
0,1,3,1,-1,11,-13,3
2,1,1,8,3,-9,4,0
-3,-4,-1,-8,-3,-9,1,-3
-1,-2,-12,-4,-1,26,7,0
9,9,13,-4,5,-17,-4,6
-7,-4,-7,4,-6,-10,-1,-5
-13,-16,-12,-12,-9,16,3,-7
-4,-4,0,2,-2,-23,-22,-16
2,3,-1,-1,0,-3,5,5
2,2,-2,-6,6,-1,-10,0
2,4,3,0,2,-9,11,4
0,1,-2,0,2,2,-4,3
-3,-8,-5,-5,-1,4,3,-2
-1,11,8,6,-2,10,8,3
-2,-23,3,-4,-2,-22,-8,-1
0,1,-3,-1,-2,4,-14,1
-2,-1,0,1,0,-8,9,-4
0,-16,-14,-7,1,22,7,11
-4,1,-6,-6,-11,-28,-6,-4
1,4,5,-1,3,-1,-41,-3
0,-1,-2,7,2,4,10,1
3,2,-1,2,1,-11,-7,-3
-5,8,7,2,1,6,16,-3
-1,-5,1,-1,-3,7,19,4
-2,4,-4,-2,0,-12,-11,-1
-2,-2,-2,5,-2,0,6,-2
5,6,16,6,-1,-2,-27,2
0,-1,-12,1,2,22,30,2
-9,-5,-1,-4,0,22,21,-3
-2,1,-1,-6,5,13,-9,-1
5,3,-6,-3,-5,-42,-10,2
-1,-2,1,4,-1,-7,-15,2
2,3,3,1,-1,3,11,-1
0,-7,-5,0,-1,7,5,-2
2,18,9,5,8,3,-13,-3
-1,-2,-16,1,-7,5,12,3
2,-4,35,12,6,-15,-23,-1
-6,-8,-9,-17,-10,33,16,-1
-3,-3,-18,-13,-1,-18,-5,-3
-2,-4,7,10,-2,5,12,1
0,2,-7,-4,-4,-14,-16,-3
5,6,8,8,8,-16,-16,-4
1,-4,0,-4,-1,19,11,2
-1,1,-3,-4,3,-1,11,2
0,0,-5,5,-3,-8,-11,-3
2,2,3,-6,-2,-16,-4,-3
-3,0,-10,3,4,8,12,-2
-2,3,4,-5,2,3,10,-4
7,-3,-3,2,-1,36,15,8
1,2,-4,-2,-2,-36,-9,3
2,0,-3,0,-2,15,1,0
2,0,7,4,0,-6,1,1
-4,5,-6,-8,-2,6,-8,-3
-2,3,-9,6,3,2,6,-1
1,4,24,13,1,-24,-20,0
1,-3,-10,-6,-4,17,22,-2
-2,-4,-3,-6,2,-3,6,0
-4,-2,1,2,0,-2,-14,-4
1,1,-12,-3,1,-8,25,6
-3,-1,8,-2,-2,31,-10,-1
-3,-8,-15,-1,3,-22,6,-1
-2,13,15,-4,-5,-17,-23,-7
-2,-13,-13,-8,-1,15,-9,-5
-4,2,8,7,0,-10,-12,1
3,-5,-7,1,-1,10,21,7
3,5,4,-1,2,-2,1,1
-3,1,0,1,2,-11,-13,-4
-7,-2,0,-5,-1,-8,-10,-6
-1,2,5,3,-5,-4,-3,-3
-2,-9,-10,-5,-1,-5,31,3
-1,2,3,0,-4,17,-6,-1
1,-10,-4,4,3,-14,-11,0
1,1,2,-1,2,8,11,-2
